draft_team,draft_pick,draft_player,draft_amount,player,points,value,pos,team,scoring,rank,tier,pos_rank,bye,best,worst,avg,std_dev,adp,vs_adp,player_join
Britt,160,"Parris Campbell Ind, WR",1,Parris Campbell,85,0,WR,Ind,half,176,10,63,7,84,349,174.5,34.2,195,19,Parris Campbell Ind WR
Miles,161,"Breshad Perriman NYJ, WR",1,Breshad Perriman,130,1,WR,NYJ,half,157,9,58,11,90,255,158.8,33.1,178,21,Breshad Perriman NYJ WR
Mathew,162,"Tee Higgins Cin, WR",1,Tee Higgins,83,0,WR,Cin,half,260,11,82,9,143,323,226.4,31.2,214,-46,Tee Higgins Cin WR
Noah,163,"Allen Lazard GB, WR",1,Allen Lazard,123,0,WR,GB,half,152,9,54,5,68,229,156,28.8,192,40,Allen Lazard GB WR
Brack,164,"Sony Michel NE, RB",1,Sony Michel,109,6,RB,NE,half,120,8,43,6,56,227,114.7,29.4,92,-28,Sony Michel NE RB
Christian,165,"Curtis Samuel Car, WR",1,Curtis Samuel,117,0,WR,Car,half,163,9,60,13,106,240,161.3,27.5,183,20,Curtis Samuel Car WR
Britt,166,"N'Keal Harry NE, WR",1,N'Keal Harry,116,0,WR,NE,half,154,9,56,6,73,296,165.1,36,185,31,N'Keal Harry NE WR
Miles,167,"Damien Williams KC, RB",1,Damien Williams,0,0,RB,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathew,168,"Nyheim Hines Ind, RB",1,Nyheim Hines,87,3,RB,Ind,half,158,9,52,7,82,296,155.4,38.3,187,29,Nyheim Hines Ind RB
Noah,169,"Chris Thompson Jax, RB",1,Chris Thompson,118,8,RB,Jax,half,126,8,45,7,60,244,145.6,43.7,193,67,Chris Thompson Jax RB
Brack,170,"Saints D/ST NO, D/ST",1,New Orleans Saints,108,1,D/ST,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Orleans Saints NO D/ST
Christian,171,"Broncos D/ST Den, D/ST",1,Denver Broncos,102,0,D/ST,Den,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Denver Broncos Den D/ST
Britt,172,"Michael Pittman Ind, WR",1,Michael Pittman Jr.,113,0,WR,Ind,half,183,10,64,7,63,249,175,28.4,181,-2,Michael Pittman Jr. Ind WR
Miles,173,"Zane Gonzalez Ari, K",1,Zane Gonzalez,111,1,K,Ari,half,201,10,7,8,94,311,210.8,31.9,202,1,Zane Gonzalez Ari K
Mathew,174,"Cole Beasley Buf, WR",1,Cole Beasley,118,0,WR,Buf,half,222,11,73,11,110,296,202,27.4,235,13,Cole Beasley Buf WR
Noah,175,"Matt Gay FA, K",1,Matt Gay,110,0,K,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brack,176,"Mason Crosby GB, K",1,Mason Crosby,110,0,K,GB,half,227,11,13,5,119,293,229.6,32,219,-8,Mason Crosby GB K
Christian,177,"Randall Cobb Hou, WR",1,Randall Cobb,97,0,WR,Hou,half,206,10,69,8,90,262,194.6,24.4,228,22,Randall Cobb Hou WR
Britt,178,"Boston Scott Phi, RB",1,Boston Scott,98,4,RB,Phi,half,139,9,48,9,68,239,134.2,32.8,175,36,Boston Scott Phi RB
Miles,179,"Austin Hooper Cle, TE",1,Austin Hooper,117,4,TE,Cle,half,102,7,11,9,63,193,115,23.5,99,-3,Austin Hooper Cle TE
Mathew,180,"Younghoe Koo Atl, K",1,Younghoe Koo,112,1,K,Atl,half,218,11,10,10,142,300,224,34.1,287,69,Younghoe Koo Atl K
